"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"Newton","New",NA,NA
"Ngenakubo","Nge",6.27,"adult"
"Ngubu","Ngu",11.27,"adult"
"Niese","Nies",12.34,"adult"
"Nihau","Niha",NA,NA
"Nihiru","Nihi",NA,NA
"Nil","Nil",NA,NA
"Nirtjies","Nirt",7.31,"adult"
"Nkomo","Nko",1.3,"juvenile"
"Nkosikasi","Nkos",NA,NA
"Nkunzi","Nkun",2.26,"juvenile"
"Noah","Noa",NA,NA
"Noktober","Nok",11.35,"adult"
"Nonnitgie","Non",4.26,"sub-adult"
"Nooiens","Nooi",8.25,"adult"
"Nooit","Noo",1.28,"juvenile"
"Nora","Nora",NA,NA
"Nostrils",NA,NA,NA
"Nuclides","Nucl",3.31,"juvenile"
"Nugget","Nug",1.32,"juvenile"
"Nukke","Nuk",1.35,"juvenile"
"Nul","Nul",1.38,"juvenile"
"Numbies","Numb",NA,NA
"Nurks","Nurk",10.42,"adult"
"Nuuskierig","Nuu",5.36,"adult"
"Nyala","Nyal",1.3,"juvenile"
"Nyanga","Nyan",8.33,"adult"
"Nyoni","Nyo",10.36,"adult"
"Oahu","Oahu",NA,NA
"Obelisk","Obe",8.29,"adult"
"Obsessie","Obse",5.34,"adult"
"Oerwoud","Oerw",4.29,"adult"
"Ogies","Ogi",11.33,"adult"
"Okavango","Oka",NA,NA
"Okefenokee","Oke",NA,NA
"Okuncane","Oku",NA,NA
"Oliver","Oli",13.26,"adult"
"Olona","Olo",NA,NA
"Omelet","Ome",1.3,"juvenile"
"Onbeskof","Onb",10.37,"adult"
"Oom","Oom",NA,NA
"Oortjies","Oort",7.27,"adult"
"Oscar","Osc",NA,NA
"Ouagadougou","Oua",NA,NA
"Oulik","Ouli",NA,NA
"Ouma","Ouma",2.26,"juvenile"
"Oupa","Oup",2.28,"juvenile"
"Padkos","Padk",1.32,"juvenile"
"Pale","Pal",NA,NA
"Palmela","Palm",2.18,"juvenile"
"Pannekoekie","Pann",NA,NA
"Papp","Papp",2.3,"juvenile"
"Papsak","Pap",7.29,"adult"
"Paris","Pari",NA,NA
"Patlansky","Pat",NA,NA
"Pearl","Pear",NA,NA
"Pianosa","Pia",NA,NA
"Pieperig","Piep",NA,NA
"Piesang","Pie",1.35,"juvenile"
"Pik","Pik",NA,NA
"Pikito","Pik",NA,NA
"Pink","Pink",NA,NA
"Pitcairn","Pit",NA,NA
"Pixsel","Pix",4.18,"sub-adult"
"Pizza","Piz",NA,NA
"Plainjane","Pla",NA,NA
"Plesier","Ples",8.36,"adult"
"Poeding","Poe",11.31,"adult"
"Pofferthie","Poff",4.33,"adult"
"Pointy","Poi",NA,NA
"Pointyears","PointyEars",NA,NA
"Pomelo","Pom",5.35,"adult"
"Pompon",NA,NA,NA
"Poppie","Popp",2.28,"juvenile"
"Potjie","Potj",9.27,"adult"
"Praia","Prai",9.28,"adult"
"Pratella","Prat",4.27,"adult"
"Pretoria","Pret",NA,NA
"Primavera","Prim",1.32,"juvenile"
"Prinses","Prin",NA,NA
"Propriano","Pro",8.28,"adult"
"Pruszkow","Pru",7.26,"adult"
"Puerto","Pue",11.18,"adult"
"Puntag","Pun",NA,NA
"Puolka","Puol",7.17,"adult"
"Purper","Pur",1.3,"juvenile"
"Puymerl","Puym",4.3,"adult"
"Pyeongchang","Pye",5.34,"adult"
"Queen","Quee",NA,NA
"Quito","Qui",NA,NA
"Rabat","Raba",6.26,"adult"
"Radja","Rad",NA,NA
"Rafaela","Rafa",1.3,"juvenile"
"Rakker","Rak",10.29,"adult"
"Rambouillet","Ram",4.29,"sub-adult"
"Raspberry","Rasp",NA,NA
"Ratel","Rat",7.25,"adult"
"Redelik","Rede",8.3,"adult"
"Redhot","Red",NA,NA
"Reenboog","Reen",4.2,"adult"
"Reenval","Ree",2.25,"juvenile"
"Regina","Regi",4.28,"adult"
"Reindeer","Rein",NA,NA
"Renee","Rene",6.32,"adult"
"Rennes","Renn",9.29,"adult"
"Reno","Ren",3.28,"juvenile"
"Renoster","Reno",1.27,"juvenile"
"Reva","Reva",11.28,"adult"
"Revdanda","Rev",5.28,"adult"
"Reykjavik","Rey",7.26,"adult"
"Rheban","Rhe",10.34,"adult"
"Richard","Ric",7.29,"adult"
"Ridder","Rid",4.28,"sub-adult"
"Rimini","Rim",2.11,"juvenile"
"Rimpel","Rimp",1.26,"juvenile"
"Rio","Rio",NA,NA
"Rioja","Rioj",5.31,"adult"
"Rissiepit","Riss",NA,NA
"Rivas","Riva",1.29,"juvenile"
"Riversdale","Riv",2.27,"juvenile"
"Rivier","Rivi",2.25,"juvenile"
"Riyadh","Riy",8.32,"adult"
"Robben","Robb",NA,NA
"Robin","Rob",6.35,"adult"
"Rochdale","Roc",4.32,"sub-adult"
"Rocky","Roc",5.38,"adult"
"Roeslare","Roes",2.26,"juvenile"
"Roma","Roma",NA,NA
"Rooikat","Roo",11.24,"adult"
