"LH_RowNumber","AnimalCode","AnimalName","OtherID"
590,"Pix","Pixsel",NA
591,"BGay18","Baby Gaya 2018",NA
592,"BNya18","Baby Nyanga 2018",NA
593,"BXal18","Baby Xalapa 2018",NA
594,"Geo","George",NA
595,"Was","Washington Babylon",NA
596,"Flu","Fluister","Jack"
597,"Kek","Kekeke",NA
598,"Lip","Lipsy",NA
599,"Oua","Ouagadougou","Shakespeare"
600,"BNum19","Baby Numbies 2019",NA
601,"BBel19","Baby Bela-Bela 2019",NA
602,"BGay19","Baby Gaya 2019",NA
603,"BRed19","Baby Redelik 2019",NA
604,"BMar19","Baby Mara 2019",NA
605,"BDig19","Baby Digby 2019",NA
606,"BLim19","Baby Lima 2019",NA
607,"BPuo19","Baby Puolka 2019",NA
608,"BRev19","Baby Reva 2019",NA
609,"BNes19","Baby Nessie 2019",NA
610,"BXia19","Baby Xian 2019",NA
611,"BPot19","Baby Potjie 2019",NA
612,"BHee19","Baby Heer 2019",NA
613,"BDia19","Baby Diana 2019",NA
614,"BXal19","Baby Xalapa 2019",NA
615,"BMie19","Baby Mielies 2019",NA
616,"Das","Dastard",NA
617,"BDel19","Baby Delilah 2019",NA
618,"BPan19","Baby Pannekoekie 2019",NA
619,"Nucl","Nuclides",NA
620,"BPre19","Baby Pretoria 2019",NA
621,"Gree","Greenbay",NA
622,"Lamp","Lampshade",NA
623,"BGug19","Baby Gugu 2019",NA
624,"Ren","Reno",NA
625,"Tas","Tasty flavours",NA
626,"Tam","Tambacounda",NA
627,"Utr","Utrecht",NA
628,"Vla","Vladivostok",NA
629,"Fle","Flensburg",NA
630,"War","Warnemünde",NA
631,"Aaa","Aaalva","Aalva"
632,"Sho","Shongololo",NA
633,"Dia","Diamond",NA
634,"Lig","Light",NA
635,"Awa","Awash",NA
636,"BRos20","Baby Rosl 2020",NA
637,"App","Appel",NA
638,"Papp","Papp",NA
639,"Gib","Gibela",NA
640,"Popp","Poppie",NA
641,"Yon","Yonne",NA
642,"Oup","Oupa",NA
643,"Gus","Gusha",NA
644,"Ndum","Ndumiso",NA
645,"Riv","Riversdale",NA
646,"BDig20","Baby Digby 2020",NA
647,"Gha","Ghandaghanda",NA
648,"Ouma","Ouma",NA
649,"Heli","Helikopter",NA
650,"Nkun","Nkunzi",NA
651,"Roes","Roeslare",NA
652,"Dazz","Dazzle",NA
653,"Eis","Eish",NA
654,"BRen20","Baby Renn 2020",NA
655,"Gri","Griffin",NA
656,"Xop","Xopo",NA
657,"Moes","Moesa",NA
658,"Ree","Reenval",NA
659,"Rivi","Rivier",NA
660,"Span","Spanspek",NA
661,"Syl","Sylinder",NA
662,"Mui","Muis",NA
663,"Bang","Bangalore",NA
664,"BGua20","Baby Guat 2020",NA
665,"Deja","Deja",NA
666,"Loki","Loki",NA
667,"Delt","Delta",NA
668,"Gub","Gubudu",NA
669,"Palm","Palmela",NA
670,"Lug","Lugano",NA
671,"Naa","Naartjie",NA
672,"Ndo","Ndondo",NA
673,"Sio","Sion",NA
674,"Rim","Rimini",NA
675,"Udup","Udupi",NA
677,"Dodg","DodgyKnee",NA
678,"Tch","Tchakalaka",NA
679,"Buk","Bukubuku",NA
680,"Cay","Cayman","Little Cameron"
681,"WavyEars","WavyEars",NA
683,"Duc","Duckie",NA
684,"Oke","Okefenokee",NA
685,"Tev","Tevere",NA
