"LH_RowNumber","AnimalCode","AnimalName","Sex"
464,"Nah","Nahoon","M"
520,"Nak","Nakhu","M"
176,"Nala","Nala","F"
93,"Namn","Nam nam","F"
522,"Nan","Nantucket","M"
12,"Nap","Napoli","M"
839,"Nca","Ncane","M"
560,"Ncok","Ncoko","F"
561,"Nda","Ndanda","M"
451,"Ndaw","Ndawonya","F"
504,"Ndik","Ndiki","F"
841,"Ndin","Ndini","F"
324,"Ndi","Ndiza","M"
722,"Ndl","Ndlovu","M"
672,"Ndo","Ndondo","M"
227,"Ndon","Ndonsa","F"
644,"Ndum","Ndumiso","F"
788,"Nel","Nelson","M"
191,"Ness","Nessie","F"
153,"Neu","Neuchatel","M"
107,"New","Newton","M"
469,"Nge","Ngenakubo","M"
142,"Ngu","Ngubu","M"
3,"Nies","Niese","F"
526,"Niha","Nihau","F"
764,"Nihi","Nihiru","F"
130,"Nil","Nil","M"
410,"Nirt","Nirtjies","F"
723,"Nko","Nkomo","M"
32,"Nkos","Nkosikasi","F"
650,"Nkun","Nkunzi","F"
245,"Noa","Noah","M"
122,"Nok","Noktober","M"
579,"Non","Nonnitgie","M"
343,"Nooi","Nooiens","F"
735,"Noo","Nooit","M"
767,"Nora","Nora","F"
619,"Nucl","Nuclides","F"
779,"Nug","Nugget","M"
699,"Nuk","Nukke","M"
696,"Nul","Nul","M"
26,"Numb","Numbies","F"
204,"Nurk","Nurks","F"
505,"Nuu","Nuuskierig","M"
726,"Nyal","Nyala","F"
322,"Nyan","Nyanga","F"
220,"Nyo","Nyoni","M"
380,"Oahu","Oahu","F"
832,"Oase","Oase","F"
338,"Obe","Obelisk","M"
514,"Obse","Obsessie","F"
565,"Oerw","Oerwoud","F"
128,"Ogi","Ogies","M"
388,"Oka","Okavango","M"
684,"Oke","Okefenokee","M"
76,"Oku","Okucane","M"
275,"Oli","Oliver","M"
385,"Olo","Olona","M"
826,"Olyf","Olyf","F"
733,"Ome","Omelet","M"
218,"Onb","Onbeskof","M"
69,"Oom","Oom","M"
432,"Oort","Oortjies","F"
545,"Osc","Oscar","M"
856,"Ott","Otter","M"
599,"Oua","Ouagadougou","M"
27,"Ouli","Oulik","F"
648,"Ouma","Ouma","F"
642,"Oup","Oupa","M"
729,"Padk","Padkos","F"
355,"Pal","Pale","M"
669,"Palm","Palmela","F"
802,"Pand","Pandora","F"
44,"Pann","Pannekoekie","F"
638,"Papp","Papp","F"
419,"Pap","Papsak","M"
13,"Pari","Paris","F"
70,"Pat","Pat Lansky","M"
247,"Pear","Pearl","F"
835,"Pers","Persephone","F"
395,"Pia","Pianosa","M"
238,"Piep","Pieperig","F"
700,"Pie","Piesang","M"
28,"Pik","Pik","M"
181,"Pik","Pikito","M"
861,"Pikk","Pikkewyn","F"
55,"Pink","Pink","F"
715,"Pit","Pitcairn","M"
590,"Pix","Pixsel","M"
356,"Piz","Pizza","M"
306,"Ples","Plesier","F"
133,"Poe","Poeding","M"
781,"Poff","Pofferthie","F"
381,"Poi","Pointy","M"
509,"Pom","Pomelo","M"
640,"Popp","Poppie","F"
268,"Potj","Potjie","F"
834,"Prag","Prague","F"
266,"Prai","Praia","F"
577,"Prat","Pratella","F"
154,"Pret","Pretoria","F"
786,"Prim","Primavera","F"
29,"Prin","Prinses","F"
339,"Pro","Propriano","M"
833,"Prui","Pruin","F"
434,"Pru","Pruszkow","M"
160,"Pue","Puerto","M"
537,"Pun","Puntag","M"
448,"Puol","Puolka","F"
734,"Pur","Purper","M"
564,"Puym","Puy-merl","F"
513,"Pye","Pyeongchang","M"
78,"Quee","Queen","F"
59,"Qui","Quito","M"
471,"Raba","Rabat","F"
56,"Rad","Radja","M"
752,"Rafa","Rafaela","F"
236,"Rak","Rakker","M"
566,"Ram","Rambouillet","M"
421,"Rasp","Raspberry","F"
443,"Rat","Ratel","M"
716,"Red","Red Hot","M"
333,"Rede","Redelik","F"
587,"Reen","Reenboog","F"
658,"Ree","Reenval","M"
576,"Regi","Regina","F"
458,"Rein","Reindeer","F"
459,"Rene","Renee","F"
264,"Renn","Rennes","F"
624,"Ren","Reno","M"
737,"Reno","Renoster","F"
139,"Reva","Reva","F"
529,"Rev","Revdanda","M"
435,"Rey","Reykjavik","M"
223,"Rhe","Rheban","M"
420,"Ric","Richard","M"
573,"Rid","Ridder","M"
674,"Rim","Rimini","M"
738,"Rimp","Rimpel","F"
155,"Rio","Rio","M"
524,"Rioj","Rioja","F"
852,"Ris","Rishikesh","M"
97,"Riss","Rissiepit","F"
751,"Riva","Rivas","F"
645,"Riv","Riversdale","M"
659,"Rivi","Rivier","F"
331,"Riy","Riyadh","M"
396,"Robb","Robben","F"
457,"Rob","Robin","M"
556,"Roc","Rochdale","M"
651,"Roes","Roeslare","F"
14,"Roma","Roma","F"
854,"Rooi","Rooibos","F"
147,"Roo","Rooikat","M"
276,"Rose","Rose-Mary","F"
436,"Rosl","Roslin","F"
848,"Ros","Rosyn","M"
318,"Roxa","Roxanne","F"
231,"Ruby","Ruby","F"
303,"Rup","Rupert","M"
103,"Rus","Rusk","M"
511,"Rust","Rustig","F"
795,"Rya","Ryan","M"
63,"SMA","SMA","M"
329,"Safa","Safari","F"
366,"Samo","Samoa","F"
739,"Samp","Sampion","F"
864,"San","Sango","M"
486,"Sari","Sari","F"
453,"Schn","Schnauzli","F"
193,"Sel","Selenge","M"
367,"Sey","Seychelles","M"
187,"Sha","Shakespeare","M"
274,"Shi","Shitface","M"
632,"Sho","Shongololo","M"
205,"Siel","Siele","F"
567,"Sig","Sigaret","M"
673,"Sio","Sion","M"
512,"Sirk","Sirkus","F"
740,"Sitr","Sitrus","F"
557,"Skem","Skemer","F"
778,"Skh","Skhumbuzo","M"
57,"Skin","Skin","F"
30,"Sko","Skollie","M"
736,"Sla","Slang","M"
391,"Smas","Smashy","F"
95,"Snor","Snortjie","F"
357,"Sol","Solomon","M"
558,"Spam","Spampounkoeki","F"
660,"Span","Spanspek","F"
742,"Spe","Spek","M"
870,"Spl","Splotch","M"
120,"Spo","Spook","M"
116,"Spo","Spotted","M"
804,"Sta","Stanley","M"
175,"Sty","Styx","M"
382,"Sumb","Sumbawa","F"
102,"Suzy","Suzy","F"
661,"Syl","Sylinder","M"
377,"Sym","Symetric","M"
146,"Tal","Talinn","M"
626,"Tam","Tambacounda","M"
173,"Tang","Tanganika","F"
42,"Tann","Tannie","F"
625,"Tas","Tasty flavours","M"
678,"Tch","Tchakalaka","M"
336,"Ted","Teddibeer","M"
280,"Tere","Tere","F"
685,"Tev","Tevere","M"
340,"Tha","Thames","M"
111,"The","Theodore","M"
865,"Tho","Thor","M"
760,"Tik","Tiki","M"
506,"Timb","Timber","F"
98,"Tipi","Tipies","F"
211,"Tir","Tirroan","M"
374,"Tong","Tonga","F"
156,"Tor","Toronto","M"
392,"Tort","Tortuga","F"
866,"Tot","Totsiens","M"
319,"Tou","Toulouse","M"
15,"Troi","Troia","F"
189,"Tug","Tugela","M"
106,"Tun","Tunis","M"
177,"Twe","Tweed","M"
480,"Tyl","Tyler","M"
140,"Ubu","Ububhibhi","M"
837,"Udi","Udine","M"
675,"Udup","Udupi","F"
256,"Uji","Uji","M"
425,"Ula","Ulaanbaatar","M"
64,"Ulak","Ulaka","F"
559,"Uls","Ulsan","M"
144,"Ulu","Ulundi","M"
456,"Umb","Umbrella","M"
383,"Umna","Umnak","F"
346,"Umt","Umtata","M"
282,"Umz","Umzali","M"
