"AnimalID","From","To","Group","Source","NatalGroup","GroupNB"
"Cameron",2017-10-05,2022-01-26,"CR","Natal_NoDOB_Disappeared","Yes",1
"Cancun",2013-06-28,2016-02-25,"NH","Immigrants1_ImmiDate","No",1
"Cancun",2016-03-14,2017-02-16,"AK","Immigrants2_ImmiDate_ToAdd","No",2
"Cancun",2017-05-30,2018-12-17,"NH","Immigrants3_ImmiDate","No",3
"Cancun",2019-06-17,2021-01-27,"NH","Immigrants4_ImmiDate","No",4
"Capri",2022-03-28,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Cayman",2021-05-19,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Charles",2011-11-21,2013-12-09,"LT","Natal_NoDOB_Disappeared","Yes",1
"Chernobyl",2012-04-28,2014-05-26,"NH","Immigrants1_ImmiDate","No",1
"Chernobyl",2014-06-09,2016-08-06,"BD","Immigrants2_ImmiDate_ToAdd","No",2
"Chiloe",2015-01-06,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Cindylauper",2011-10-26,2011-11-11,"RC","Natal_NoDOB_Disappeared","Yes",1
"Circe",2022-06-28,2022-11-17,"IF","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Clarence",2021-07-28,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Colorado",2015-05-25,2016-05-11,"KB","Immigrants1_ImmiDate","No",1
"Colorado",2016-04-29,2016-09-14,"IFamily","Immigrants2_ImmiDate_ToAdd","No",2
"Cone",2014-12-30,2015-07-22,"CR","Natal_NoDOB_Disappeared","Yes",1
"Corfu",2017-12-23,2018-06-02,"CR","Natal_NoDOB_Disappeared","Yes",1
"Cuba",2015-01-06,2015-12-15,"CR","Natal_NoDOB_Disappeared","Yes",1
"Curaco",2012-04-14,2012-04-14,"KB","Natal_NoDOB_Disappeared","Yes",1
"Curious",2014-12-30,2015-11-06,"CR","Natal_NoDOB_Disappeared","Yes",1
"Cusco",2018-05-21,2018-12-17,"NH","Immigrants1_ImmiDate","No",1
"Cusco",2019-05-21,2020-11-30,"NH","Immigrants2_ImmiDate_ToAdd","No",2
"Daartagnan",2017-11-02,2022-06-06,"LT","Natal_DOB_Disappeared","Yes",1
"Daenerys",2015-08-20,2022-11-17,"LT","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Dagga",2011-04-07,2012-11-29,"BD","Natal_NoDOB_Emi","Yes",1
"Dagga",2012-11-29,2013-12-23,"InBetweeners","Immigrants1_NoImmiDate_Natal","No",2
"Daila",2021-11-20,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Daisy",2014-08-26,2022-11-17,"LT","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Dakar",2022-09-10,2022-11-17,"NH","Immigrants1_ImmiDate","No",1
"Dalton",2018-11-28,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Danielle",2021-11-22,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Danube",2012-05-25,2014-05-12,"KB","Immigrants1_NoImmiDate_NonNatal","No",1
"Danube",2014-05-28,2014-08-30,"BD","Immigrants2_ImmiDate_ToAdd","No",2
"Danube",2014-09-08,2015-06-20,"IN","Immigrants3_ImmiDate","No",3
"Danube",2015-06-24,2015-10-13,"AK","Immigrants4_ImmiDate","No",4
"Dapper",2014-07-01,2016-01-27,"BD","Immigrants1_ImmiDate","No",1
"Darwin",2012-07-31,2016-09-02,"LT","Natal_NoDOB_Disappeared","Yes",1
"Dastard",2019-11-01,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Dazzle",2020-11-20,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Deja",2020-12-07,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Delilah",2012-10-08,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Delta",2020-12-11,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Delux",2021-12-11,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Derrick",2021-12-11,2022-06-04,"LT","Natal_DOB_Disappeared","Yes",1
"Dewey",2017-01-04,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Dexter",2017-11-30,2022-06-04,"LT","Natal_DOB_Disappeared","Yes",1
"Diamond",2020-10-29,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Diana",2011-02-19,2022-11-17,"LT","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Digby",2014-01-08,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Dillon",2016-12-05,2021-12-11,"LT","Natal_DOB_Disappeared","Yes",1
"Dion",2015-12-12,2021-03-23,"LT","Natal_DOB_Disappeared","Yes",1
"Disco",2021-11-21,2022-03-09,"LT","Natal_DOB_Disappeared","Yes",1
"Dixon",2018-11-11,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Dodgyknee",2021-04-16,2022-01-03,"CR","Natal_NoDOB_Disappeared","Yes",1
"Dokos",2017-08-22,2018-07-20,"CR","Natal_NoDOB_Emi","Yes",1
"Dokos",2019-05-30,2022-07-21,"BD","Immigrants1_ImmiDate","No",2
"Donsig",2011-04-07,2015-01-15,"BD","Natal_NoDOB_Emi","Yes",1
"Donsig",2015-04-03,2018-11-16,"LT","Immigrants1_ImmiDate","No",2
"Doreen",2017-12-29,2022-11-17,"LT","Natal_DOB_NonMigrant_Alive","Yes",1
"Doublespot",2012-08-13,2014-05-10,"KB","Natal_NoDOB_Disappeared","Yes",1
"Downlip",2014-05-28,2014-07-09,"LT","Immigrants1_ImmiDate","No",1
"Drew",2010-12-13,2011-11-01,"RC","Natal_NoDOB_Disappeared","Yes",1
"Dublin",2010-11-08,2012-10-27,"NH","Immigrants1_ImmiDate","No",1
"Duckie",2021-05-27,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Dulcina",2015-10-08,2015-10-08,"CR","Natal_NoDOB_Disappeared","Yes",1
"Dwergie",2010-12-01,2016-01-19,"BD","Natal_NoDOB_Emi","Yes",1
"Dwergie",2016-01-26,2016-03-23,"AK","Immigrants1_ImmiDate","No",2
"Easter",2018-04-09,2022-03-12,"CR","Natal_NoDOB_Disappeared","Yes",1
"Edward",2012-06-12,2014-11-12,"LT","Immigrants1_ImmiDate","No",1
"Eier",2021-11-02,2022-02-16,"BD","Natal_DOB_Disappeared","Yes",1
"Eina",2014-10-18,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Eish",2020-11-21,2022-11-17,"BD","Natal_DOB_NonMigrant_Alive","Yes",1
"Elbar",2021-07-28,2021-09-03,"CR","Natal_NoDOB_Disappeared","Yes",1
"Ellesmere",2014-12-30,2016-07-19,"CR","Natal_NoDOB_Disappeared","Yes",1
"Elton",2011-06-09,2012-02-04,"LT","Natal_NoDOB_Emi","Yes",1
"Elton",2012-01-28,2016-01-18,"AK","Immigrants1_ImmiDate","No",2
"Elvispresley",2010-12-24,2011-11-11,"RC","Immigrants1_NoImmiDate_NonNatal","No",1
"Emma",2011-12-16,2013-07-04,"LT","Natal_NoDOB_Disappeared","Yes",1
"Engel",2011-04-07,2022-11-17,"BD","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Ermelo",2022-06-16,2022-11-17,"NH","Immigrants1_ImmiDate","No",1
